kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi;kanit_beklentisi;dis_kontrol_id;kanit_tipi;kaynak_url;kaynak_yeri;erisim_tarihi;yururluk_tarihi;gereksinim_tipi
AILE-01;;Endüstriyel Ağ Güvenliği;;0;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği;2026-09-09;;
AILE-02;;Endüstriyel İstemci ve Sunucu Güvenliği;;1;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 02-İstemci ve Sunucu Güvenliği;2026-09-09;;
AILE-03;;Endüstriyel Tehdit ve Zafiyet Yönetimi;;2;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 03-Tehdit ve Zafiyet Yönetimi;2026-09-09;;
AILE-04;;Endüstriyel Siber Güvenlik Risk Yönetimi;;3;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 04-Endüstriyel Risk Yönetimi;2026-09-09;;
AILE-05;;Endüstriyel Varlık, Değişim ve Konfigürasyon Yönetimi;;4;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 05-Varlık ve Konfigürasyon;2026-09-09;;
AILE-06;;Endüstriyel Kimlik ve Erişim Yönetimi;;5;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 06-Kimlik ve Erişim Yönetimi;2026-09-09;;
AILE-07;;Endüstriyel Olay Yönetimi ve Süreklilik;;6;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 07-Olay Yönetimi ve Süreklilik;2026-09-09;;
AILE-08;;Akıllı Cihaz Güvenliği;;7;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 08-Akıllı Cihaz Güvenliği;2026-09-09;;
AILE-09;;Endüstriyel Operasyon Güvenliği;;8;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 09-Endüstriyel Operasyon Güv;2026-09-09;;
AILE-10;;İnsan Kaynakları Güvenliği;;9;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 10-İK Güvenliği;2026-09-09;;
AILE-11;;Fiziksel Güvenlik;;10;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 11-Fiziksel Güvenlik;2026-09-09;;
AILE-12;;Tedarikçi Yönetimi;;11;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 12-Tedarikçi Yönetimi;2026-09-09;;
EAG-1;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde (EKS) hizmet veren kontrol merkezlerinde yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlanmalı (Port security, kullanılmayan portların devre dışı bırakılması, fiziksel olarak kapatılması vb.) veya fiziksel güvenlik önlemleri ile yetkisiz erişimler engellenmelidir. Bu kontroller hem kablolu hem de kablosuz ağlar için uygulanmalıdır.;12;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-1;2026-09-09;2023-06-06;Seviye 1
EAG-2;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde hizmet veren acil durum/yedek kontrol merkezlerinde yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlanmalı (Port security, kullanılmayan portların devre dışı bırakılması, fiziksel olarak kapatılması vb.) veya fiziksel güvenlik önlemleri ile yetkisiz erişimler engellenmelidir. Bu kontroller hem kablolu hem de kablosuz ağlar için uygulanmalıdır.;13;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-2;2026-09-09;2023-06-06;Seviye 1
EAG-3;AILE-01;Politika, Prosedür, Süreç;Elektrik dağıtım şebekesi içerisinde mevcut SCADA sistemine bağlı veya ethernet tabanlı ağ yapısı olan tüm trafo merkezleri tüketim yoğunluklarına göre tüketimi çok olandan başlanarak listelenmelidir. (Yükümlü kuruluşlar kendi dağıtım bölgelerinin dinamikleri uyarınca ilave kritiklik belirleme parametreleri de kullanabilir.);14;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-3;2026-09-09;2023-06-06;Seviye 2
EAG-4;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;Kritiklik seviyesi A sınıfı olan kuruluşlar bir önceki adımda belirlenen trafo merkezi tüketim yoğunluk listesinin ilk %20'sinde bulunan trafo merkezlerinde ağa giriş kontrolleri uygulamalıdır. (Port security, kullanılmayan portların devre dışı bırakılması, fiziksel olarak kapatılması vb.) Kritiklik seviyesi B-C sınıfı olan kuruluşlar bir önceki adımda belirlenen trafo merkezi tüketim yoğunluk listesinin ilk %25'inde bulunan trafo merkezlerinde ağa giriş kontrolleri uygulamalıdır.;15;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-4;2026-09-09;2023-06-06;Seviye 2
EAG-5;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde (EKS), kontrol merkezleri ve her türlü uç sahalarla olan haberleşmeler güvenlik duvarı (Referans_Topoloji_Elektrik_Dağıtım: EKS-GD-01) üzerinden sağlanmalıdır. Bu güvenlik duvarı sadece endüstriyel ağların izolasyonu/ayrıştırılması için konumlandırılmalı ve KBS güvenlik duvarından farklı olmalıdır. Kullanılan güvenlik duvarı ilgili kuruluşun endüstriyel protokollerini desteklemelidir. (IEC 104, DNP3 vb.);16;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-5;2026-09-09;2023-06-06;Seviye 2
EAG-6;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemleri ana kontrol merkezi ve acil durum/yedek kontrol merkezi arasındaki haberleşmeler yukarıda adreslenen endüstriyel ağın izolasyonu/ayrıştırılması için kullanılan güvenlik duvarı (Referans_Topoloji_Elektrik_Dağıtım: EKS-GD-01) üzerinden ve güvenli bir iletişim kanalı kullanılarak (IPsec vb.) sağlanmalıdır.;17;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-6;2026-09-09;2023-06-06;Seviye 2
EAG-7;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemleri (EKS) kontrol merkezleri arasında Layer2 bağlantı olması durumunda, hem ana kontrol merkezi hem de acil durum/yedek kontrol merkezlerinde aynı ağ güvenlik kontrolleri uygulanıyor olmalıdır.;18;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-7;2026-09-09;2023-06-06;Seviye 2
EAG-8;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde (EKS) endüstriyel ağlar ve harici ağlar arasındaki (güvensiz ağlar) haberleşmeler güvenlik duvarı (Referans_Topoloji_Elektrik_Dağıtım: EKS-GD-01) üzerinden sağlanmalıdır. Bu güvenlik duvarı endüstriyel ağı izole eden güvenlik duvarıdır.;19;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-8;2026-09-09;2023-06-06;Seviye 2
EAG-9;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde (EKS) farklı kontrol sistemleri ile ICCP üzerinden veri okuma entegrasyonları endüstriyel ağı izole eden güvenlik duvarı (Referans_Topoloji_Elektrik_Dağıtım: EKS-GD-01) üzerinden sağlanmalıdır.;20;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-9;2026-09-09;2023-06-06;Seviye 2
EAG-10;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde (EKS) farklı kontrol sistemleri ile ICCP üzerinden veri yazma entegrasyonları, ICCP protokolünü tanıyan ve sadece belirli parametrelere izin verebilen bir güvenlik duvarı veya benzeri güvenliği sağlayabilen bir güvenlik bileşeni üzerinden sağlanmalıdır.;21;;OPTIONAL;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-10;2026-09-09;2023-06-06;Ek kontrol
EAG-11;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde (EKS) uç sahalarla olan haberleşmeler için kullanılan endüstriyel protokollerde yetkisiz endüstriyel komutları durdurabilecek güvenlik cihazları (Referans_Topoloji_Elektrik_Dağıtım: EKS-GD-01) konumlandırılmalıdır. (IEC 104, DNP3 protokolleri ile elektrik açma/kesme operasyonları vb.);22;;OPTIONAL;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-11;2026-09-09;2023-06-06;Ek kontrol
EAG-12;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Elektrik dağıtım şebekeleri endüstriyel kontrol sistemlerinde (EKS) GES, RES gibi santraller üzerinden elektrik dağıtım şebekesine ait kontrol sistemi bileşenlerine olan bağlantılar güvenlik duvarı (Referans_Topoloji_Elektrik_Dağıtım: EKS-GD-01) üzerinden sağlanmalıdır.;23;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=4KFPqszJ13k%3D;Ek-1 · 01-Endüstriyel Ağ Güvenliği · EAG-12;2026-09-09;2023-06-06;Seviye 2
