kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi;kanit_beklentisi;dis_kontrol_id;kanit_tipi;kaynak_url;kaynak_yeri;erisim_tarihi;yururluk_tarihi;gereksinim_tipi
AILE-01;;Endüstriyel Ağ Güvenliği;;0;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 01-Endüstriyel Ağ Güvenliği;2026-09-09;;
AILE-02;;Endüstriyel İstemci ve Sunucu Güvenliği;;1;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 02-İstemci ve Sunucu Güv;2026-09-09;;
AILE-03;;Endüstriyel Tehdit ve Zafiyet Yönetimi;;2;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 03-Tehdit ve Zafiyet Yönetimi;2026-09-09;;
AILE-04;;Endüstriyel Siber Güvenlik Risk Yönetimi;;3;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 04-Endüstriyel Risk Yönetimi;2026-09-09;;
AILE-05;;Endüstriyel Varlık, Değişim ve Konfigürasyon Yönetimi;;4;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 05-Varlık ve Konfigürasyon;2026-09-09;;
AILE-06;;Endüstriyel Kimlik ve Erişim Yönetimi;;5;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 06-Kimlik ve Erişim Yönetimi;2026-09-09;;
AILE-07;;Endüstriyel Olay Yönetimi ve Süreklilik;;6;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 07 Olay-Yönetimi ve Süreklilik;2026-09-09;;
AILE-08;;Akıllı Cihaz Güvenliği;;7;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 08-Akıllı Cihaz Güvenliği;2026-09-09;;
AILE-09;;Endüstriyel Operasyon Güvenliği;;8;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 09-Endüstriyel Operasyon Güv;2026-09-09;;
AILE-10;;İnsan Kaynakları Güvenliği;;9;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 10-İK Güvenliği;2026-09-09;;
AILE-11;;Fiziksel Güvenlik;;10;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 11-Fiziksel Güvenlik;2026-09-09;;
AILE-12;;Tedarikçi Yönetimi;;11;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 12-Tedarikçi Yönetimi;2026-09-09;;
EAG-1;AILE-01;Endüstriyel Ağa Giriş Kontrolleri;Elektrik iletim şebekesi merkezi endüstriyel kontrol sistemlerinde (EKS) hizmet veren kontrol merkezlerinde (ana kontrol, yedek kontrol, yük tevzi merkezleri) yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlanmalıdır. Bu kontroller hem kablolu hem de kablosuz ağlar için uygulanmalıdır.;12;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 01-Endüstriyel Ağ Güvenliği · EAG-1;2026-09-09;2024-09-08;Seviye 1
EAG-2;AILE-01;Endüstriyel Ağa Giriş Kontrolleri;Elektrik iletim şebekesi endüstriyel kontrol sistemlerinde (EKS) hizmet veren iletim şebekesinin mülkiyetinde olmayan (üretim ve tüketim ) tüm trafo merkezlerinde yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlamak için ilgili işletme tarafından teknik kontrollerin uygulanması bağlantı sistem kullanım anlaşmalarında ifade edilmelidir. (Bu kontrol, altyapı yenileme projeleri sırasında ya da bu düzenleme yürürlüğe girdiği andan itibaren kurulacak olan altyapılarda aranacaktır.);13;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=3OvnJRzRuhI%3D;Ek-7 · 01-Endüstriyel Ağ Güvenliği · EAG-2;2026-09-09;2024-09-08;Seviye 1
